DONATION_ID,NAME,AGE,DATE_OF_BIRTH,STREET_ADDRESS,CITY,STATE,ZIP,PHONE,CATEGORY,ORGANIZATION,AMOUNT
1,Donna Morrison,79,12/28/44,782 Lisa Harbor,Brianburgh,IL,27395,+1-959-056-5675x47588, ,Brown-Schwartz,262.92
2,Terry Patrick,23,11/16/01,5207 Keith Islands,Timothyhaven,DC,4918,(089) 751-9733,Sports,Torres Group,397.08
3,"Wade, Ashley",28,4/6/99,7214 Maria Row Suite 106,Port Meghanside,AZ,19727,374-320-9677,Miscellaneous,Stark Group,163.02
4,Jordan Ramsey,66,5/26/82,234 Ashley Fields,Michelleton,OH,15059,121-229-4085,N/A,Wright-Clark,368.68
5,"Reed, Ronald",43,7/24/54,1518 Ryan Lakes Apt. 611,North Monicahaven,CT,10741,719.881.8171,Health,"Griffith, Edwards and Mckenzie",331.51
6,Gregory Hines,53,1/18/62,30712 Ricardo Crest Apt. 350,Huertashire,WV,22746,(177)004-6594,Miscellaneous,Cooper-Sanchez,246.12
7,"Adams, Jennifer",62,9/28/57,17567 Paul Courts,Wilsonchester,MI,89386,1-068-112-1576,Animal Welfare,Costa Inc,210.51
8,Nicholas Jimenez,30,7/15/42,7199 Young Pine,Floresview,ID,40879,010.777.6149x064,N/A,"Harris, Brooks and Larson",206.13
9,Joshua Williams,85,10/4/51,1183 Brandi Land,Lake Kathleenmouth,NC,47592,1-064-752-3739,Unknown,"Moody, Scott and Miles",324.75
10,Walter Barnett,77,8/9/65,931 Nicholas Plaza Suite 258,Susanshire,MD,44149,832-221-5648x18694,Education,"Garcia, Nguyen and Alexander",221.1
11,"Spencer, Stephanie",26,6/4/50,18194 Fox Drives Suite 475,New Debraport,IN,730,+1-370-370-1142x728,Arts,Smith Inc,3460853.93
12,"Miller, Victor",37,10/8/62,705 Cynthia Freeway Suite 174,West Steveside,NC,63235,(788) 285-8797,Sports,Bernard Group,4940802.99
13,"Miller, Cheryl",36,11/4/44,259 Sharon Shore Suite 723,East Danaton,HI,50867,467-492-7758x20163,N/A,Barton-Powell,369.55
14,Kelly Strickland,49,3/17/40,979 Harris Ports Suite 640,North Donna,TX,36157,360-078-3393, ,Gill and Sons,314.09
